Designator,Footprint,Quantity,Value,LCSC Part #
"AE1, AE2, AE3, AE4",U.FL_Molex_MCRF_73412-0110_Vertical,4,Antenna_Shield,
"BOOT0, RST1",SW_PUSH_6mm,2,~,
Card1,TF-SMD_TF-PUSH,1,TF PUSH,C393941
D1,0603,1,RED,
J1,PinHeader_2x04_P2.54mm_Vertical,1,ESP-01,
J10,PinSocket_2x03_P2.54mm_Vertical,1,JMP,
J2,PinHeader_1x03_P2.54mm_Vertical,1,RF-TR,
J3,PinHeader_1x04_P2.54mm_Vertical,1,RF-RX,
J4,PinHeader_1x04_P2.54mm_Vertical,1,USB,
"J5, J6, J8",PinHeader_1x02_P2.54mm_Vertical,3,Conn_01x02,
J7,PinHeader_1x04_P2.54mm_Vertical,1,UART0,
J9,PinSocket_2x04_P2.54mm_Vertical,1,Conn_02x04_Counter_Clockwise,
"R1, R2",0603,2,5.11K,
R3,0603,1,10K,
R4,0603,1,330,
U1,ESP32-S2-WROVER,1,ESP32-S2-WROVER,
"U10, U7, U8, U9",SOT-223-3_TabPin2,4,AMS1117-3.3,
"U2, U4",Ai-Thinker-Ra-01-LoRa,2,Ai-Thinker-Ra-01,
U3,COMM-SMD_LORA1281-2.4GHZ,1,LORA1281-2.4GHZ,C3001531
U5,HOPERF_RFM9XW_SMD,1,RFM95W-868S2,
U6,nRF24L01_Breakout,1,NRF24L01_Breakout,
USB1,USB-C-SMD_TYPE-C-6PIN-2MD-073,1,TYPE-C 16PIN 2MD(073),C2765186
